"";"Year";"Rows";"Columns"
"1";1992;15485522;35
"2";1993;15617080;35
"3";1994;15367326;39
"4";1995;13275064;41
"5";1996;12530882;41
"6";1997;12351464;42
"7";1998;12248632;41
"8";1999;12438376;52
"9";2000;12426137;60
"10";2001;12227236;60
"11";2002;12233702;68
"12";2003;12094875;69
"13";2004;11953856;71
"14";2005;11861494;69
"15";2006;11721412;78
"16";2007;11739258;75
"17";2008;11107155;86
"18";2009;11511559;86
"19";2010;11724834;86
"20";2011;11643468;93
"21";2012;11439889;93
"22";2013;11520837;95
"23";2014;11612715;113
"24";2015;11638853;113
"25";2016;11527712;113
"26";2017;11675269;113
"27";2018;12000838;113
"28";2019;12355393;113
"29";2020;10657249;113
