"";"TIPEQUIP";"CODEQUIP";"total"
"1";"1";"01";749
"2";"1";"02";3130
"3";"1";"03";771
"4";"1";"04";7065
"5";"1";"05";9927
"6";"1";"06";2850
"7";"1";"07";34733
"8";"1";"08";1435
"9";"1";"09";1492
"10";"1";"11";2597
"11";"1";"12";993
"12";"1";"13";8227
"13";"1";"14";7695
"14";"1";"15";7537
"15";"1";"10";646
"16";"2";"21";34467
"17";"2";"22";6355
"18";"2";"23";2926
"19";"3";"31";2947
"20";"3";"32";1671
"21";"3";"33";7489
"22";"3";"34";8450
"23";"3";"35";3086
"24";"3";"36";5178
"25";"4";"41";27661
"26";"4";"42";3455
"27";"5";"52";89496
"28";"5";"53";13410
"29";"5";"54";647
"30";"5";"56";21608
"31";"5";"57";11980
"32";"5";"58";16628
"33";"5";"60";47347
"34";"5";"61";12396
"35";"5";"62";41088
"36";"5";"63";76824
"37";"5";"64";36009
"38";"5";"59";3467
"39";"5";"51";1075
"40";"5";"55";923
"41";"6";"71";23004
"42";"6";"72";24665
"43";"6";"73";4056
"44";"6";"74";2269
"45";"6";"75";4729
"46";"6";"76";1197
"47";"6";"77";15944
"48";"6";"78";9276
"49";"7";"80";99504
"50";"7";"81";24244
"51";"7";"82";27710
"52";"7";"83";41402
"53";"7";"84";33260
"54";"7";"85";20001
"55";"7";"86";16153
